Coordinates,Name,Buffer,Walkway,Access,Notes
"39.88485745699096, -75.19667098876268",Schuylkill to Delaware,Vegetation,Paved,,
"39.92361134096494, -75.21332457854494",Overlook at 61st Street,Overlook,Overhead,,
"39.92854188446118, -75.21225668737083",56th Street Plaza,Landscaping,Paved,,
"39.942069255782286, -75.20419218507686",Grays Ferry Crescent Trail Park,Rail,Paved,,
"39.946172164901085, -75.1867710206754",Schuylkill Banks Boardwalk,Fence,Boardwalk,,
"39.96120050248463, -75.17990340193265",Schuylkill Banks Fishing Plaza,Fence,Paved,,
"39.96704728764248, -75.18458102286198",Fairmount Dam Promenade and Gazebo,Rail,Paved,,
"39.98037385951183, -75.19856135021091",Playing Angels Sculpture,Lawn,Paved,,
"40.01598002713877, -75.21195906458672",Pencoyd Bridge,Multiple,Parking Lot,,
"40.03411880692046, -75.2365652626856",Ivy Ridge Station,Multiple,Paved,,
"40.04509104995848, -75.25580389810656",Mill Creek and Schuylkill Junction,Vegetation,Paved,,
